Path,Black,White,Ratio
./Shreyu/1xShapes2/square.png,11690,19859,1.6988023952095808
./Keshav/3xShapes/circle_3x.png,146053,135607,1.0770314216817716
./Keshav/3xShapes/square_3x.png,147163,143368,1.0264703420568049
./Keshav/3xShapes/ellipse_angle_90_3x.png,394912,27129,14.556821113937115
./Keshav/3xShapes/rectangle_angle_0_3x.png,206277,230080,1.1153933788061685
./Keshav/3xShapes/ellipse_angle_0_3x.png,201046,220956,1.0990320623140972
./Keshav/3xShapes/trapezium_angle_0_3x.png,167211,101906,1.6408356720899653
./Keshav/3xShapes/parallelogram_angle_0_3x.png,135324,133202,1.0159306917313553
./Keshav/3xShapes/parallelogram_angle_90_3x.png,146831,120109,1.222481246201367
./Keshav/3xShapes/trapezium_angle_90_3x.png,175650,92871,1.891333139516103
./Keshav/3xShapes/rectangle_angle_90_3x.png,68044,366942,5.392716477573335
./Keshav/3xShapes2/circle_3x.png,156235,124576,1.254134022604675
./Keshav/3xShapes2/square_3x.png,46219,243918,5.277440013847119
./Keshav/3xShapes2/ellipse_angle_90_3x.png,209810,212018,1.0105238072541824
./Keshav/3xShapes2/rectangle_angle_0_3x.png,94065,340992,3.625067772285122
./Keshav/3xShapes2/ellipse_angle_0_3x.png,186406,233907,1.2548254884499426
./Keshav/3xShapes2/trapezium_angle_0_3x.png,59879,209062,3.491407672138813
./Keshav/3xShapes2/parallelogram_angle_0_3x.png,147352,122112,1.2066954926624738
./Keshav/3xShapes2/parallelogram_angle_90_3x.png,151040,117684,1.2834370007817546
./Keshav/3xShapes2/trapezium_angle_90_3x.png,140442,128792,1.0904559289396858
./Keshav/3xShapes2/rectangle_angle_90_3x.png,256611,178733,1.435722558229314
./KhushiGoyal/1xShapes/trapezium_angle_90.png,17575,12624,1.3921894803548795
./KhushiGoyal/1xShapes/parallelogram_angle_90.png,14582,14767,1.012686874228501
./KhushiGoyal/1xShapes/ellipse_angle_90.png,25835,20884,1.237071442252442
./KhushiGoyal/1xShapes/circle.png,16613,14596,1.1381885448067963
./KhushiGoyal/1xShapes/rectangle_angle_0.png,24174,23685,1.0206459784673845
./KhushiGoyal/1xShapes/rectangle_angle_90.png,23990,23894,1.004017745040596
./KhushiGoyal/1xShapes/trapezium_angle_0.png,16077,13747,1.1694915254237288
./KhushiGoyal/1xShapes/ellipse_angle_0.png,23190,23552,1.015610176800345
./KhushiGoyal/1xShapes/parallelogram_angle_0.png,14777,14576,1.0137897914379803
./KhushiGoyal/1xShapes/square.png,15960,15871,1.0056077121794469
./KhushiGoyal/1xShapes2/trapezium_angle_90.png,15407,14372,1.07201502922349
./KhushiGoyal/1xShapes2/parallelogram_angle_90.png,14851,14864,1.0008753619284896
./KhushiGoyal/1xShapes2/ellipse_angle_90.png,23935,23381,1.0236944527607887
./KhushiGoyal/1xShapes2/circle.png,16515,14683,1.1247701423414833
./KhushiGoyal/1xShapes2/rectangle_angle_0.png,23760,24368,1.0255892255892256
./KhushiGoyal/1xShapes2/rectangle_angle_90.png,24480,23807,1.0282689965136305
./KhushiGoyal/1xShapes2/trapezium_angle_0.png,18317,11885,1.5411863693731593
./KhushiGoyal/1xShapes2/ellipse_angle_0.png,22746,24004,1.055306427503737
./KhushiGoyal/1xShapes2/parallelogram_angle_0.png,16045,13890,1.1551475881929445
./KhushiGoyal/1xShapes2/square.png,17460,14627,1.1936829151569017
./Pranjali/1xShapes/trapezium_angle_90.png,13463,16495,1.2252098343608409
./Pranjali/1xShapes/parallelogram_angle_90.png,14487,14865,1.0260923586663906
./Pranjali/1xShapes/ellipse_angle_90.png,24235,22487,1.0777338017521234
./Pranjali/1xShapes/circle.png,16209,14967,1.0829825616355984
./Pranjali/1xShapes/rectangle_angle_0.png,24660,23980,1.0283569641367807
./Pranjali/1xShapes/rectangle_angle_90.png,25245,22904,1.1022092210967516
./Pranjali/1xShapes/trapezium_angle_0.png,15001,14755,1.0166723144696712
./Pranjali/1xShapes/ellipse_angle_0.png,23933,22983,1.0413348997084801
./Pranjali/1xShapes/parallelogram_angle_0.png,15273,14097,1.0834220046818472
./Pranjali/1xShapes/square.png,15784,16046,1.0165990876837303
./Pranjali/1xShapes2/trapezium_angle_90.png,15407,14366,1.0724627592927747
./Pranjali/1xShapes2/parallelogram_angle_90.png,15314,14329,1.0687417126107892
./Pranjali/1xShapes2/ellipse_angle_90.png,25132,21807,1.1524739762461595
./Pranjali/1xShapes2/circle.png,16811,14388,1.1684042257436753
./Pranjali/1xShapes2/rectangle_angle_0.png,24979,23177,1.0777494930318852
./Pranjali/1xShapes2/rectangle_angle_90.png,25020,23267,1.0753427601323764
./Pranjali/1xShapes2/trapezium_angle_0.png,17422,12825,1.3584405458089668
./Pranjali/1xShapes2/ellipse_angle_0.png,25129,22187,1.1326001712714653
./Pranjali/1xShapes2/parallelogram_angle_0.png,16120,13833,1.165329285043013
./Pranjali/1xShapes2/square.png,16380,15707,1.0428471382186286
./Shivam/3xShapes/circle_3x.png,140169,141894,1.0123065727800014
./Shivam/3xShapes/square_3x.png,125548,165011,1.3143259948386274
./Shivam/3xShapes/ellipse_angle_90_3x.png,217983,204935,1.0636689682094322
./Shivam/3xShapes/rectangle_angle_0_3x.png,24601,411804,16.739319539856105
./Shivam/3xShapes/ellipse_angle_0_3x.png,210810,212754,1.0092215739291306
./Shivam/3xShapes/trapezium_angle_0_3x.png,52544,216442,4.119252436053594
./Shivam/3xShapes/parallelogram_angle_0_3x.png,201752,67149,3.0045421376342163
./Shivam/3xShapes/parallelogram_angle_90_3x.png,135072,134659,1.003067006289962
./Shivam/3xShapes/trapezium_angle_90_3x.png,171643,98193,1.7480166610654528
./Shivam/3xShapes/rectangle_angle_90_3x.png,214533,221448,1.03223280334494
./Shivam/3xShapes2/circle_3x.png,160534,121623,1.3199312630012416
./Shivam/3xShapes2/square_3x.png,149321,140814,1.0604130271137813
./Shivam/3xShapes2/ellipse_angle_90_3x.png,227311,196324,1.1578360261608363
./Shivam/3xShapes2/rectangle_angle_0_3x.png,373371,62587,5.965631840478054
./Shivam/3xShapes2/ellipse_angle_0_3x.png,154901,268090,1.7307183297719189
./Shivam/3xShapes2/trapezium_angle_0_3x.png,181062,88944,2.0356853750674584
./Shivam/3xShapes2/parallelogram_angle_0_3x.png,132641,136957,1.0325389585422304
./Shivam/3xShapes2/parallelogram_angle_90_3x.png,216911,51994,4.171846751548255
./Shivam/3xShapes2/trapezium_angle_90_3x.png,179317,89751,1.9979387416296197
./Shivam/3xShapes2/rectangle_angle_90_3x.png,224808,211693,1.0619529223923323
./Anushka/3xShapes/circle_3x.png,142167,139820,1.0167858675439851
./Anushka/3xShapes/square_3x.png,138744,151548,1.0922850717868882
./Anushka/3xShapes/ellipse_angle_90_3x.png,189488,233563,1.2326004812969686
./Anushka/3xShapes/rectangle_angle_0_3x.png,208138,227855,1.0947304192410805
./Anushka/3xShapes/ellipse_angle_0_3x.png,215450,207831,1.0366595936121175
./Anushka/3xShapes/trapezium_angle_0_3x.png,138739,130205,1.0655427978956262
./Anushka/3xShapes/parallelogram_angle_0_3x.png,151122,118278,1.2776847765433978
