Name,Category,circle.png,circle_3x.png,ellipse_angle_0.png,ellipse_angle_0_3x.png,ellipse_angle_90.png,ellipse_angle_90_3x.png,parallelogram_angle_0.png,parallelogram_angle_0_3x.png,parallelogram_angle_90.png,parallelogram_angle_90_3x.png,rectangle_angle_0.png,rectangle_angle_0_3x.png,rectangle_angle_90.png,rectangle_angle_90_3x.png,square.png,square_3x.png,trapezium_angle_0.png,trapezium_angle_0_3x.png,trapezium_angle_90.png,trapezium_angle_90_3x.png
Pavani,1xShapes2,1.1061418391584663,0.0,1.1484443218897926,0.0,1.1309844370407558,0.0,1.576159514521023,0.0,1.707620528771384,0.0,1.061720430107527,0.0,1.811363902896681,0.0,1.0464646464646463,0.0,1.4568469505178363,0.0,1.0295781367136918,0.0
Pranjali,1xShapes,1.0829825616355984,0.0,1.04133489970848,0.0,1.0777338017521234,0.0,1.0834220046818472,0.0,1.0260923586663906,0.0,1.028356964136781,0.0,1.1022092210967516,0.0,1.0165990876837303,0.0,1.0166723144696712,0.0,1.2252098343608409,0.0
Pranjali,1xShapes2,1.1684042257436753,0.0,1.1326001712714653,0.0,1.1524739762461595,0.0,1.165329285043013,0.0,1.0687417126107892,0.0,1.0777494930318852,0.0,1.0753427601323764,0.0,1.0428471382186286,0.0,1.3584405458089668,0.0,1.072462759292775,0.0
Prisha,1xShapes,1.167794127902922,0.0,1.0084658358401375,0.0,1.1343263124228995,0.0,1.071242152782676,0.0,1.040166782487839,0.0,1.065083666709683,0.0,1.044829800899165,0.0,1.068760773798123,0.0,1.0445238422426824,0.0,2.02058582548136,0.0
Prisha,1xShapes2,1.0825155217304223,0.0,1.0023985951085792,0.0,1.0589086761996669,0.0,1.1766165523281271,0.0,1.1627465303140978,0.0,1.130115146147033,0.0,1.0009534469178791,0.0,1.0240484756674872,0.0,1.3431126451208033,0.0,1.1013766325450054,0.0
Rhythm,3xShapes,0.0,1.8707885177006909,0.0,1.91042857044631,0.0,1.435466318110889,0.0,1.3153426945494304,0.0,2.337657831803031,0.0,1.032883855232542,0.0,1.0480547906516982,0.0,1.1490724104020171,0.0,1.2776640384420157,0.0,2.337356556616036
Rhythm,3xShapes2,0.0,1.027218849897633,0.0,1.0029530493547305,0.0,1.549054320140181,0.0,1.4456528640754682,0.0,1.6193186247758633,0.0,1.4057826300429752,0.0,2.3077779882553515,0.0,1.2966494702829108,0.0,2.0026468854610364,0.0,2.3425103023683036
Shivam,3xShapes,0.0,1.0123065727800014,0.0,1.0092215739291306,0.0,1.0636689682094322,0.0,3.0045421376342163,0.0,1.003067006289962,0.0,16.739319539856105,0.0,1.03223280334494,0.0,1.3143259948386274,0.0,4.119252436053594,0.0,1.7480166610654528
Shivam,3xShapes2,0.0,1.3199312630012416,0.0,1.7307183297719189,0.0,1.1578360261608365,0.0,1.0325389585422304,0.0,4.171846751548255,0.0,5.965631840478054,0.0,1.0619529223923323,0.0,1.0604130271137813,0.0,2.0356853750674584,0.0,1.9979387416296197
Shreyu,1xShapes,1.140737688028024,0.0,1.0311727725991762,0.0,1.138830162085976,0.0,2.4146397694524495,0.0,1.0474247115113988,0.0,1.1524500907441015,0.0,1.1468680546106047,0.0,1.110873487936911,0.0,2.947113387789007,0.0,1.962144793653981,0.0
Shreyu,1xShapes2,8.632481296758105,0.0,1.0576733339312945,0.0,1.3368299538245332,0.0,2.4793319909984604,0.0,1.2914307871267934,0.0,2.9991621983914207,0.0,2.2541072640868975,0.0,1.6988023952095808,0.0,1.9638866719872303,0.0,1.2766431203931203,0.0
Umang,3xShapes,0.0,1.1004812850160923,0.0,8.44557830707872,0.0,1.040830115830116,0.0,1.0831526788479406,0.0,1.1717730107821491,0.0,1.113344343437768,0.0,1.2351420393339694,0.0,1.0775907718288895,0.0,6.106549803321101,0.0,1.4104426868983286
Umang,3xShapes2,0.0,5.679097943633309,0.0,4.95720134502019,0.0,2.221325810572419,0.0,1.397702908285366,0.0,1.1078135033123993,0.0,1.033236603185563,0.0,1.2234818185060452,0.0,1.3395813204508855,0.0,1.188366864961815,0.0,1.0971427236408664
Vanshita,3xShapes,0.0,1.0789308848129344,0.0,1.1232844404076696,0.0,1.006594573580934,0.0,1.001527479732952,0.0,1.004854514174583,0.0,2.2029081295439523,0.0,2.8636420103641655,0.0,2.965763819576423,0.0,1.6550249395031853,0.0,1.3540858416457215
Vanshita,3xShapes2,0.0,3.3564760432766616,0.0,1.008159138805035,0.0,1.103460788992285,0.0,1.065980597094924,0.0,1.0752362192607183,0.0,1.0994235199984577,0.0,1.0760174875463144,0.0,1.0185001882083955,0.0,2.502808696556746,0.0,2.0781841686782827
Vrinda,3xShapes,0.0,1.1116416569995884,0.0,1.0247515505639502,0.0,1.050143509174423,0.0,1.0058544162012009,0.0,1.1176387360477913,0.0,1.0081366514123693,0.0,1.0719529125382727,0.0,1.0041598604612532,0.0,1.0168458110183138,0.0,1.9722797267826109
Vrinda,3xShapes2,0.0,1.025456398917421,0.0,1.0166660335789717,0.0,1.3698495107840336,0.0,1.100898275902366,0.0,1.035693467679054,0.0,1.0155713981895014,0.0,1.0949348255936726,0.0,1.015174129353234,0.0,2.009933069497853,0.0,1.049377549156876
