Name,Category,circle.png,circle_3x.png,ellipse_angle_0.png,ellipse_angle_0_3x.png,ellipse_angle_90.png,ellipse_angle_90_3x.png,parallelogram_angle_0.png,parallelogram_angle_0_3x.png,parallelogram_angle_90.png,parallelogram_angle_90_3x.png,rectangle_angle_0.png,rectangle_angle_0_3x.png,rectangle_angle_90.png,rectangle_angle_90_3x.png,square.png,square_3x.png,trapezium_angle_0.png,trapezium_angle_0_3x.png,trapezium_angle_90.png,trapezium_angle_90_3x.png
Akshat,3xShapes,0.0,1.0494372376261396,0.0,1.1587867337299258,0.0,1.0783385444319902,0.0,1.0089308477931582,0.0,1.0,0.0,1.0257013372334034,0.0,1.0055340087898506,0.0,1.0001105063955575,0.0,2.0252059178131585,0.0,2.1209729905629677
Akshat,3xShapes2,0.0,1.043069927082353,0.0,1.0293448960601672,0.0,1.0238638860494664,0.0,1.1704194047158871,0.0,1.1740975787218562,0.0,1.2415059026778,0.0,1.1538120698313297,0.0,1.053569535815485,0.0,1.599893863373215,0.0,1.0239421060937397
Anushka,3xShapes,0.0,1.0167858675439851,0.0,1.0366595936121177,0.0,1.2326004812969686,0.0,1.2776847765433978,0.0,1.1414072426937738,0.0,1.0947304192410805,0.0,1.157797474249533,0.0,1.0922850717868882,0.0,1.0655427978956262,0.0,1.3345512160067878
Anushka,3xShapes2,0.0,1.072110473362779,0.0,1.0216576466313514,0.0,1.2659795248130596,0.0,1.0227734912375142,0.0,1.026492112661195,0.0,1.0050813241792858,0.0,1.480499849408716,0.0,1.1633336558427545,0.0,3.11127343559776,0.0,1.928195918367347
Ashna,1xShapes,1.0968457865357455,0.0,1.1528791007111725,0.0,1.0020569959288623,0.0,1.0599958191066825,0.0,1.058289799285125,0.0,1.002363184079602,0.0,1.018826785190155,0.0,1.0039328297646544,0.0,1.037162162162162,0.0,1.0351254962653926,0.0
Ashna,1xShapes2,1.0501379944802207,0.0,1.0635593220338984,0.0,1.023804390012506,0.0,1.1077107077529196,0.0,1.00877073701387,0.0,1.019808628504281,0.0,1.028356964136781,0.0,1.002469135802469,0.0,1.213273291008416,0.0,1.1629242060896736,0.0
Bhargav,1xShapes,7.572292468389225,0.0,1.024362048295941,0.0,1.115164974619289,0.0,1.0643470970446447,0.0,5.552573691157061,0.0,1.0944013781223083,0.0,1.0368286445012789,0.0,1.1453703703703704,0.0,4.786990291262136,0.0,2.6742119995132043,0.0
Bhargav,1xShapes2,7.840702947845805,0.0,1.0986466435861697,0.0,7.681365313653137,0.0,1.233743149163087,0.0,1.0391451690988311,0.0,1.2197681847220954,0.0,1.1243120468244956,0.0,1.002222222222222,0.0,2.4054541356772594,0.0,1.9294454312216305,0.0
Harshit,3xShapes,0.0,1.010306697565302,0.0,1.37913697790425,0.0,1.283925690963614,0.0,1.0357609058619957,0.0,1.1359133274156734,0.0,10.37639157476611,0.0,1.037476101213988,0.0,1.0118780986721214,0.0,126.49009433962264,0.0,1.9114865157352496
Harshit,3xShapes2,0.0,1.266732767446172,0.0,1.001178346812548,0.0,55.0963266384778,0.0,43.874334221038616,0.0,1.3798076923076923,0.0,4.785158325363936,0.0,1.0537778112412002,0.0,6478.644444444444,0.0,2938.0978260869565,0.0,63.98695652173913
